Course name,Description,Topics,Instructors,URL,Department
Introduction to Computational Neuroscience,"This course gives a mathematical introduction to neural coding and dynamics. Topics include convolution, correlation, linear systems, game theory, signal detection theory, probability theory, information theory, and reinforcement learning. Applications to neural coding, focusing on the visual system are covered, as well as Hodgkin-Huxley and other related models of neural excitability, stochastic models of ion channels, cable theory, and models of synaptic transmission.","Engineering, Biological Engineering, Computational Biology, Science",Prof. Sebastian Seung,https://ocw.mit.edu/courses/9-29j-introduction-to-computational-neuroscience-spring-2004/,"Brain and Cognitive Sciences
Physics"
Neural Plasticity in Learning and Development,"Roles of neural plasticity in learning and memory and in development of invertebrates and mammals. An in-depth critical analysis of current literature of molecular, cellular, genetic, electrophysiological, and behavioral studies. Discussion of original papers supplemented by introductory lectures.","Science, Biology, Neurobiology, Neuroscience, Cognitive Science",Prof. Earl Miller Prof. Guosong Liu Prof. Matt Wilson Prof. Susumu Tonegawa Prof. William Quinn,https://ocw.mit.edu/courses/9-301j-neural-plasticity-in-learning-and-development-spring-2002/,"Brain and Cognitive Sciences
Biology"
Genetic Neurobiology,"This course deals with the specific functions of neurons, the interactions of neurons in development, and the organization of neuronal ensembles to produce behavior. Topics covered include the analysis of mutations, and molecular analysis of the genes required for nervous system function. In particular, this course focuses on research work done with nematodes, fruit flies, mice, and humans.Show less","Science, Biology, Genetics, Neurobiology",Prof. Troy Littleton Prof. William Quinn,https://ocw.mit.edu/courses/9-322j-genetic-neurobiology-fall-2005/,"Brain and Cognitive Sciences
Biology"
Sensation And Perception,"This course provides an introduction to important philosophical questions about the mind, specifically those that are intimately connected with contemporary psychology and neuroscience. Are our concepts innate, or are they acquired by experience? (And what does it even mean to call a concept ‘innate’?) Are ‘mental images’ pictures in the head? Is color in the mind or in the world? Is the mind nothing more than the brain? Can there be a science of consciousness? The course will include guest lectures by Professors.Show less","Health and Medicine, Sensory-Neural Systems, Science, Social Science",Dr. Benjamin Balas,https://ocw.mit.edu/courses/9-35-sensation-and-perception-spring-2009/,Brain and Cognitive Sciences
Special Topics in Vision Science,"An advanced seminar on issues of current interest in human and machine vision. Topics vary from year to year. This year, the class will involve studying the perception of materials. Participants discuss current literature as well as their ongoing research. Topics are tackled from multiple standpoints, including optics, psychophysics, computer graphics and computer vision.Show less","Engineering, Computer Science, Graphics and Visualization, Health and Medicine, Science",Prof. Edward Adelson,https://ocw.mit.edu/courses/9-357-special-topics-in-vision-science-fall-2001/,Brain and Cognitive Sciences
Introduction to Neural Computation,"This course introduces quantitative approaches to understanding brain and cognitive functions. Topics include mathematical description of neurons, the response of neurons to sensory stimuli, simple neuronal networks, statistical inference and decision making. It also covers foundational quantitative tools of data analysis in neuroscience: correlation, convolution, spectral analysis, principal components analysis, and mathematical concepts including simple differential equations and linear algebra.Show less","Engineering, Biological Engineering, Computational Biology, Health and Medicine, Science",Prof. Michale Fee Daniel Zysman,https://ocw.mit.edu/courses/9-40-introduction-to-neural-computation-spring-2018/,Brain and Cognitive Sciences
Tools for Robust Science,"This course offers a comprehensive exploration of cutting-edge tools and techniques designed to revitalize and enhance scientific practices in the cognitive and neuro-sciences. Students will identify obstacles to conducting robust scientific research, practice using tools meant to overcome these obstacles, and critically evaluate these tools’ potential and limitations.Show less","Health and Medicine, Medical Imaging, Sensory-Neural Systems, Science",Prof. Rebecca Saxe,https://ocw.mit.edu/courses/9-401-tools-for-robust-science-fall-2022/,Brain and Cognitive Sciences
Parkinson's Disease Workshop,"Parkinson’s disease (PD) is a chronic, progressive, degenerative disease of the brain that produces movement disorders and deficits in executive functions, working memory, visuospatial functions, and internal control of attention. It is named after James Parkinson (1755-1824), the English neurologist who described the first case.","Health and Medicine, Medical Imaging, Pathology and Pathophysiology, Science",Prof. Suzanne Corkin,https://ocw.mit.edu/courses/9-458-parkinsons-disease-workshop-summer-2006/,Brain and Cognitive Sciences
Scene Understanding Symposium,"What are the circuits, mechanisms and representations that permit the recognition of a visual scene from just one glance? In this one-day seminar on Scene Understanding, speakers from a variety of disciplines - neurophysiology, cognitive neuroscience, visual cognition, computational neuroscience and computer vision - will address a range of topics related to scene recognition, including natural image categorization, contextual effects on object recognition, and the role of attention in scene understanding and visual art. The goal is to encourage exchanges between researchers of all fields of brain sciences in the burgeoning field of scene understanding.Show less","Science, Biology, Neurobiology, Neuroscience, Cognitive Science",Prof. Aude Oliva,https://ocw.mit.edu/courses/9-459-scene-understanding-symposium-spring-2006/,Brain and Cognitive Sciences
Neuroscience of Morality,How do we decide whether an action is morally wrong? How do we choose to do what is right? When and why do we punish wrong-doers? Moral behavior and moral evaluation are functions of the human brain. It is just becoming possible to use neuroscientific methods to understand how they work. This course will consider the mechanisms of morality as a question for neuroscientists.Show less,"Science, Cognitive Science, Social Science",Prof. Rebecca Saxe,https://ocw.mit.edu/courses/9-46-neuroscience-of-morality-fall-2017/,Brain and Cognitive Sciences
Affective Priming at Short and Extremely Short Exposures,"This course is an investigation of affective priming and creation of rigorously counterbalanced, fully computerized testing paradigm. Includes background readings, study design, counterbalancing, study execution, data analysis, presentation of poster, and final paper.","Science, Biology, Neuroscience, Cognitive Science",Prof. Suzanne Corkin,https://ocw.mit.edu/courses/9-51-affective-priming-at-short-and-extremely-short-exposures-spring-2003/,Brain and Cognitive Sciences
Investigating the Neural Substrates of Remote Memory using fMRI,"This course is an investigation to distinguish episodic memory, which is memory of personal events, from semantic memory, which is general knowledge independent of time and place.","Science, Biology, Neuroscience, Cognitive Science",Prof. Suzanne Corkin,https://ocw.mit.edu/courses/9-52-a-investigating-the-neural-substrates-of-remote-memory-using-fmri-spring-2003/,Brain and Cognitive Sciences
Topics in Brain and Cognitive Sciences Human Ethology,"Survey and special topics designed for students in Brain and Cognitive Sciences. Emphasizes ethological studies of natural behavior patterns and their analysis in laboratory work, with contributions from field biology (mammology, primatology), sociobiology, and comparative psychology. Stresses human behavior but also includes major contributions from studies of other animals.Show less","Science, Cognitive Science, Social Science",Prof. Gerald E. Schneider,https://ocw.mit.edu/courses/9-52-b-topics-in-brain-and-cognitive-sciences-human-ethology-spring-2001/,Brain and Cognitive Sciences
Computational Cognitive Science,"An introduction to computational theories of human cognition. Emphasizes questions of inductive learning and inference, and the representation of knowledge. Project required for graduate credit. This class is suitable for intermediate to advanced undergraduates or graduate students specializing in cognitive science, artificial intelligence, and related fields.Show less","Engineering, Systems Engineering, Computational Science and Engineering, Science",Prof. Joshua Tenenbaum,https://ocw.mit.edu/courses/9-52-c-computational-cognitive-science-spring-2003/,Brain and Cognitive Sciences
Computational Cognitive Science,"An introduction to computational theories of human cognition. Emphasizes questions of inductive learning and inference, and the representation of knowledge. Project required for graduate credit. This class is suitable for intermediate to advanced undergraduates or graduate students specializing in cognitive science, artificial intelligence, and related fields.Show less","Engineering, Systems Engineering, Computational Science and Engineering, Science",Prof. Joshua Tenenbaum,https://ocw.mit.edu/courses/9-52-c-computational-cognitive-science-spring-2003/,"Brain and Cognitive Sciences
Electrical Engineering and Computer Science"
Computational Cognitive Science,"An introduction to computational theories of human cognition. Emphasizes questions of inductive learning and inference, and the representation of knowledge. Project required for graduate credit. This class is suitable for intermediate to advanced undergraduates or graduate students specializing in cognitive science, artificial intelligence, and related fields.Show less","Engineering, Systems Engineering, Computational Science and Engineering, Science",Prof. Joshua Tenenbaum,https://ocw.mit.edu/courses/9-66j-computational-cognitive-science-fall-2004/,Brain and Cognitive Sciences
Computational Cognitive Science,"An introduction to computational theories of human cognition. Emphasizes questions of inductive learning and inference, and the representation of knowledge. Project required for graduate credit. This class is suitable for intermediate to advanced undergraduates or graduate students specializing in cognitive science, artificial intelligence, and related fields.Show less","Engineering, Systems Engineering, Computational Science and Engineering, Science",Prof. Joshua Tenenbaum,https://ocw.mit.edu/courses/9-66j-computational-cognitive-science-fall-2004/,"Brain and Cognitive Sciences
Electrical Engineering and Computer Science"
Statistical Learning Theory and Applications,"Focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. Develops basic tools such as Regularization including Support Vector Machines for regression and classification. Derives generalization bounds using both stability and VC theory. Discusses topics such as boosting and feature selection. Examines applications in several areas: computer vision, computer graphics, text classification and bioinformatics. Final projects and hands-on applications and exercises are planned, paralleling the rapidly increasing practical uses of the techniques described in the subject.Show less","Engineering, Computer Science, Algorithms and Data Structures, Artificial Intelligence, Mathematics, Science",Dr. Ryan Rifkin Dr. Sayan Mukherjee Prof. Tomaso Poggio Alex Rakhlin,https://ocw.mit.edu/courses/9-520-statistical-learning-theory-and-applications-spring-2003/,Brain and Cognitive Sciences
Statistical Learning Theory and Applications,"Focuses on the problem of supervised learning from the perspective of modern statistical learning theory starting with the theory of multivariate function approximation from sparse data. Develops basic tools such as Regularization including Support Vector Machines for regression and classification. Derives generalization bounds using both stability and VC theory. Discusses topics such as boosting and feature selection. Examines applications in several areas: computer vision, computer graphics, text classification and bioinformatics. Final projects and hands-on applications and exercises are planned, paralleling the rapidly increasing practical uses of the techniques described in the subject.Show less","Engineering, Computer Science, Algorithms and Data Structures, Artificial Intelligence, Mathematics, Science",Dr. Ryan Rifkin Dr. Sayan Mukherjee Prof. Tomaso Poggio Alex Rakhlin,https://ocw.mit.edu/courses/9-520-statistical-learning-theory-and-applications-spring-2006/,Brain and Cognitive Sciences
Networks for Learning: Regression and Classification,"The course focuses on the problem of supervised learning within the framework of Statistical Learning Theory. It starts with a review of classical statistical techniques, including Regularization Theory in RKHS for multivariate function approximation from sparse data. Next, VC theory is discussed in detail and used to justify classification and regression techniques such as Regularization Networks and Support Vector Machines. Selected topics such as boosting, feature selection and multiclass classification will complete the theory part of the course. During the course we will examine applications of several learning techniques in areas such as computer vision, computer graphics, database search and time-series analysis and prediction. We will briefly discuss implications of learning theories for how the brain may learn from experience, focusing on the neurobiology of object recognition. We plan to emphasize hands-on applications and exercises, paralleling the rapidly increasing practical uses of the techniques described in the subject.Show less","Mathematics, Probability and Statistics, Science",Prof. Tomaso Poggio Dr. Alessandro Verri,https://ocw.mit.edu/courses/9-520-a-networks-for-learning-regression-and-classification-spring-2001/,Brain and Cognitive Sciences
Cellular and Molecular Computation,"Life as an emergent property of networks of chemical reactions involving proteins and nucleic acids. Mathematical theories of metabolism, gene regulation, signal transduction, chemotaxis, excitability, motility, mitosis, development, and immunity. Applications to directed molecular evolution, DNA computing, and metabolic and genetic engineering.Show less","Engineering, Biological Engineering, Computational Biology, Science",Prof. Sebastian Seung,https://ocw.mit.edu/courses/9-530-cellular-and-molecular-computation-spring-2000/,Brain and Cognitive Sciences
Abnormal Language,"Introduction to the linguistic study of language pathology, concentrating on experimental approaches and theoretical explanations. Discussion of Specific Language Impairment, autism, Down syndrome, Williams syndrome, normal aging, Parkinson’s disease, Alzheimer’s disease, hemispherectomy and aphasia. Focuses on the comparison of linguistic abilities among these syndromes, while drawing clear comparisons with first and second language acquisition. Topics include the lexicon, morphology, syntax, semantics and pragmatics. Relates the lost linguistic abilities in these syndromes to properties of the brain.Show less","Health and Medicine, Speech Pathology, Humanities, Science",Mr. Christopher Hirsch Prof. Ken Wexler,https://ocw.mit.edu/courses/9-56j-abnormal-language-fall-2004/,"Brain and Cognitive Sciences
Linguistics and Philosophy"
Language Acquisition,"Covers the major results in the study of first language acquisition concentrating on the development of linguistic structure, including sentence structure and morphology. Universal aspects of development are discussed, as well as a variety of cross-linguistic phenomena. Theories of language learning are considered, including parameter-setting and maturation.Show less","Humanities, Linguistics, Science",Prof. Ken Wexler,https://ocw.mit.edu/courses/9-57j-language-acquisition-fall-2001/,"Brain and Cognitive Sciences
Linguistics and Philosophy"
Language Processing,"This course is a seminar in real-time language comprehension. It considers models of sentence and discourse comprehension from the linguistic, psychology, and artificial intelligence literature, including symbolic and connectionist models. Topics include ambiguity resolution and linguistic complexity; the use of lexical, syntactic, semantic, pragmatic, contextual and prosodic information in language comprehension; the relationship between the computational resources available in working memory and the language processing mechanism; and the psychological reality of linguistic representations.Show less","Humanities, Linguistics, Science",Prof. Edward Gibson,https://ocw.mit.edu/courses/9-591j-language-processing-fall-2004/,"Brain and Cognitive Sciences
Linguistics and Philosophy"
Lab in Psycholinguistics,"Hands-on experience designing, conducting, analyzing, and presenting experiments on the structure and processing of human language. Focuses on constructing, conducting, analyzing, and presenting an original and independent experimental project of publishable quality. Develops skills in reading and writing scientific research reports in cognitive science, including evaluating the methods section of a published paper, reading and understanding graphical displays and statistical claims about data, and evaluating theoretical claims based on experimental data. Instruction and practice in oral and written communication provided.Show less","Humanities, Linguistics, Semantics, Syntax, Science",Prof. Edward Gibson,https://ocw.mit.edu/courses/9-59j-lab-in-psycholinguistics-spring-2017/,"Brain and Cognitive Sciences
Linguistics and Philosophy"
Laboratory in Cognitive Science,"Teaches principles of experimental methods in human perception and cognition, including design and statistical analysis. Combines lectures and hands-on experimental exercises; requires an independent experimental project. Some experience in programming desirable. To foster improved writing and presentation skills in conducting and critiquing research in cognitive science, students are required to provide reports and give oral presentations of three team experiments; a fourth individually conducted experiment includes a proposal with revision, and concluding written and oral reports.Show less","Science, Cognitive Science",Prof. Pawan Sinha,https://ocw.mit.edu/courses/9-63-laboratory-in-cognitive-science-fall-2002/,Brain and Cognitive Sciences
Laboratory in Visual Cognition,"9.63 teaches principles of experimental methods in human perception and cognition, including design and statistical analysis. The course combines lectures and hands-on experimental exercises and requires an independent experimental project. Some experience in programming is desirable. To foster improved writing and presentation skills in conducting and critiquing research in cognitive science, students are required to provide reports and give oral presentations of three team experiments. A fourth individually conducted experiment includes a proposal with revision, and concluding written and oral reports.Show less","Health and Medicine, Sensory-Neural Systems, Science",Prof. Aude Oliva,https://ocw.mit.edu/courses/9-63-laboratory-in-visual-cognition-fall-2009/,Brain and Cognitive Sciences
Introduction to Neural Networks,"This course explores the organization of synaptic connectivity as the basis of neural computation and learning. Perceptrons and dynamical theories of recurrent networks including amplifiers, attractors, and hybrid computation are covered. Additional topics include backpropagation and Hebbian learning, as well as models of perception, motor control, memory, and neural development.Show less","Science, Biology, Neuroscience, Cognitive Science",Prof. Sebastian Seung,https://ocw.mit.edu/courses/9-641j-introduction-to-neural-networks-spring-2005/,"Brain and Cognitive Sciences
Physics"
Cognitive Processes,"This undergraduate course is designed to introduce students to cognitive processes. The broad range of topics covers each of the areas in the field of cognition, and presents the current thinking in this discipline. As an introduction to human information processing and learning, the topics include the nature of mental representation and processing, the architecture of memory, pattern recognition, attention, imagery and mental codes, concepts and prototypes, reasoning and problem solving.Show less","Science, Cognitive Science",Prof. Mary C. Potter,https://ocw.mit.edu/courses/9-65-cognitive-processes-spring-2004/,Brain and Cognitive Sciences
Object and Face Recognition,"Provides a comprehensive introduction to key issues and findings in object recognition in experimental, neural, computational, and applied domains. Emphasizes the problem of representation, exploring the issue of how 3-D objects should be encoded so as to efficiently recognize them from 2-D images. Second half focuses on face recognition, an ecologically important instance of the general object recognition problem. Describes experimental studies of human face recognition performance and recent attempts to mimic this ability in artificial computational systems.Show less","Engineering, Systems Engineering, Computational Modeling and Simulation, Science",Prof. Pawan Sinha,https://ocw.mit.edu/courses/9-67-object-and-face-recognition-spring-2001/,Brain and Cognitive Sciences
The Development of Object and Face Recognition,"This course takes a ‘back to the beginning’ view that aims to better understand the end result. What might be the developmental processes that lead to the organization of ‘booming, buzzing confusions’ into coherent visual objects? This course examines key experimental results and computational proposals pertinent to the discovery of objects in complex visual inputs. The structure of the course is designed to get students to learn and to focus on the genre of study as a whole; to get a feel for how science is done in this field.Show less","Engineering, Systems Engineering, Computational Modeling and Simulation, Science",Prof. Pawan Sinha,https://ocw.mit.edu/courses/9-675-the-development-of-object-and-face-recognition-spring-2006/,Brain and Cognitive Sciences
"Affect: Neurobiological, Psychological and Sociocultural Counterparts of ""Feelings""","This course studies the relations of affect to cognition and behavior, feeling to thinking and acting, and values to beliefs and practices. These connections will be considered at the psychological level of organization and in terms of their neurobiological and sociocultural counterparts.","Science, Biology, Neurobiology, Neuroscience, Cognitive Science, Social Science",Stephan L. Chorover,https://ocw.mit.edu/courses/9-68-affect-neurobiological-psychological-and-sociocultural-counterparts-of-feelings-spring-2013/,Brain and Cognitive Sciences
Foundations of Cognition,"Advances in cognitive science have resolved, clarified, and sometimes complicated some of the great questions of Western philosophy: what is the structure of the world and how do we come to know it; does everyone represent the world the same way; what is the best way for us to act in the world. Specific topics include color, objects, number, categories, similarity, inductive inference, space, time, causality, reasoning, decision-making, morality and consciousness. Readings and discussion include a brief philosophical history of each topic and focus on advances in cognitive and developmental psychology, computation, neuroscience, and related fields. At least one subject in cognitive science, psychology, philosophy, linguistics, or artificial intelligence is required. An additional project is required for graduate credit.Show less","Humanities, Philosophy, Science, Social Science",Prof. Josh Tenenbaum Prof. Lera Boroditsky,https://ocw.mit.edu/courses/9-69-foundations-of-cognition-spring-2003/,Brain and Cognitive Sciences
Social Psychology,"This course examines interpersonal and group dynamics, considers how the thoughts, feelings, and actions of individuals are influenced by (and influence) the beliefs, values, and practices of large and small groups. Learning occurs through a combination of lectures, demonstrations and in-class activities complemented by participation in small study groups and completion of homework assignments.Show less","Social Science, Psychology",Stephan L. Chorover,https://ocw.mit.edu/courses/9-70-social-psychology-spring-2013/,Brain and Cognitive Sciences
Functional MRI of High-Level Vision,"We are now at an unprecedented point in the field of neuroscience: We can watch the human brain in action as it sees, thinks, decides, reads, and remembers. Functional magnetic resonance imaging (fMRI) is the only method that enables us to monitor local neural activity in the normal human brain in a noninvasive fashion and with good spatial resolution. A large number of far-reaching and fundamental questions about the human mind and brain can now be answered using straightforward applications of this technology. This is particularly true in the area of high-level vision, the study of how we interpret and use visual information including object recognition, mental imagery, visual attention, perceptual awareness, visually guided action, and visual memory.","Health and Medicine, Biomedical Instrumentation, Biomedical Signal and Image Processing, Medical Imaging, Science",Prof. Nancy Kanwisher,https://ocw.mit.edu/courses/9-71-functional-mri-of-high-level-vision-fall-2007/,Brain and Cognitive Sciences
Psychology of Gender,"We will examine current research and theory regarding the validity and utility of commonly accepted gender differences in many realms. Topics include: gender differences in cognitive abilities; the social construction of gender; developmental, family, educational and medical influences; and political and economic forces.Show less","Social Science, Psychology, Society",Prof. Phoebe Kazdin Schnitzer,https://ocw.mit.edu/courses/9-75j-psychology-of-gender-spring-2003/,Brain and Cognitive Sciences
Infant and Early Childhood Cognition,"This course is an introduction to cognitive development focusing on children’s understanding of objects, agents, and causality. It develops a critical understanding of experimental design. The course discusses how developmental research might address philosophical questions about the origins of knowledge, appearance and reality, and the problem of other minds. It provides instruction and practice in written communication as needed for cognitive science research (including critical reviews of journal papers, a literature review and an original research proposal), as well as instruction and practice in oral communication in the form of a poster presentation of a journal paper.Show less","Science, Cognitive Science, Social Science",Prof. Laura Schulz,https://ocw.mit.edu/courses/9-85-infant-and-early-childhood-cognition-fall-2012/,Brain and Cognitive Sciences
Reasonable Conduct in Science,"To provide instruction and dialog on practical ethical issues relating to the responsible conduct of human and animal research in the brain and cognitive sciences. Specific emphasis will be placed on topics relevant to young researchers including data handling, animal and human subjects, misconduct, mentoring, intellectual property, and publication.Show less","Humanities, Philosophy, Ethics, Science",Prof. Matthew Wilson,https://ocw.mit.edu/courses/9-911-reasonable-conduct-in-science-january-iap-2002/,Brain and Cognitive Sciences
Special Topics in Brain and Cognitive Sciences,"Memory is not a unitary faculty, but rather consists of multiple forms of learning that differ in their operating characteristics and neurobiological substrates. This seminar will consider current debates regarding the cognitive and neural architectures of memory, specifically focusing on recent efforts to address these controversies through application of functional neuroimaging (primarily fMRI and PET).Show less","Science, Biology, Neurobiology, Neuroscience, Cognitive Science",Prof. Anthony Wagner,https://ocw.mit.edu/courses/9-912-special-topics-in-brain-and-cognitive-sciences-fall-2001/,Brain and Cognitive Sciences
Pattern Recognition for Machine Vision,"The applications of pattern recognition techniques to problems of machine vision is the main focus for this course. Topics covered include, an overview of problems of machine vision and pattern classification, image formation and processing, feature extraction from images, biological object recognition, bayesian decision theory, and clustering.Show less","Engineering, Computer Science, Artificial Intelligence, Electrical Engineering, Signal Processing, Science",Dr. Bernd Heisele Dr. Yuri Ivanov,https://ocw.mit.edu/courses/9-913-pattern-recognition-for-machine-vision-fall-2004/,Brain and Cognitive Sciences
Intensive Neuroanatomy,"The course will start with an overview of the central and peripheral nervous systems (CNS and PNS), the development of their structure and major divisions. The major functional components of the CNS will then be reviewed individually. Topography, functional distribution of nerve cell bodies, ascending and descending tracts in the spinal cord. Brainstem organization and functional components, including cranial nerve nuclei, ascending / descending pathways, amine-containing cells, structure and information flow in the cerebellar and vestibular systems. Distribution of the cranial nerves, resolution of their skeletal and branchial arch components. Functional divisions of the Diencephalon and Telencephalon. The course will then continue with how these various CNS pieces and parts work together. Motor systems, motor neurons and motor units, medial and lateral pathways, cortical versus cerebellar systems and their functional integration. The sensory systems, visual, auditory and somatosensory. Olfaction will be covered in the context of the limbic system, which will also include autonomic control and the Papez circuit. To conclude, functional organization and information flow in the neocortex will be discussed.Show less","Health and Medicine, Anatomy and Physiology, Science",Prof. Elly Nedivi,https://ocw.mit.edu/courses/9-913-a-intensive-neuroanatomy-january-iap-2002/,Brain and Cognitive Sciences
"Special Topics: Genetics, Neurobiology, and Pathophysiology of Psychiatric Disorders","An opportunity for graduate study of advanced subjects in Brain and Cognitive Sciences not included in other subject listings. The key topics covered in this course are Bipolar Disorder, Psychosis, Schizophrenia, Genetics of Psychiatric Disorder, DISC1, Ca++ Signaling, Neurogenesis and Depression, Lithium and GSK3 Hypothesis, Behavioral Assays, CREB in Addiction and Depressive Behaviors, The GABA System-I, The GABA System-II, The Glutamate Hypothesis of Schizophrenia, The Dopamine Pathway and DARPP32.Show less","Health and Medicine, Mental Health, Pathology and Pathophysiology, Science, Social Science",Prof. Edward Scolnick Prof. Li-Huei Tsai,https://ocw.mit.edu/courses/9-914-special-topics-genetics-neurobiology-and-pathophysiology-of-psychiatric-disorders-fall-2008/,Brain and Cognitive Sciences
"Modularity, Domain-specificity, and the Organization of Knowledge","This course will consider the degree and nature of the modular organization of the mind and brain. We will focus in detail on the domains of objects, number, places, and people, drawing on evidence from behavioral studies in human infants, children, normal adults, neurological patients, and animals, as well as from studies using neural measures such as functional brain imaging and ERPs. With these domains as examples, we will address broader questions about the role of domain-general and domain-specific processing systems in mature human performance, the innateness vs. plasticity of encapsulated cognitive systems, the nature of the evidence for such systems, and the processes by which people link information flexibly across domains.Show less","Science, Cognitive Science",Prof. Elizabeth S. Spelke Prof. Nancy Kanwisher,https://ocw.mit.edu/courses/9-916-modularity-domain-specificity-and-the-organization-of-knowledge-fall-2001/,Brain and Cognitive Sciences
Special Topics: Social Animals,"Humans are social animals; social demands, both cooperative and competitive, structure our development, our brain and our mind. This course covers social development, social behaviour, social cognition and social neuroscience, in both human and non-human social animals. Topics include altruism, empathy, communication, theory of mind, aggression, power, groups, mating, and morality. Methods include evolutionary biology, neuroscience, cognitive science, social psychology and anthropology.Show less","Science, Biology, Neuroscience, Cognitive Science, Social Science",Prof. Rebecca Saxe,https://ocw.mit.edu/courses/9-916-special-topics-social-animals-fall-2009/,Brain and Cognitive Sciences
The Neural Basis of Visual Object Recognition in Monkeys and Humans,"Understanding the brain’s remarkable ability for visual object recognition is one of the greatest challenges of brain research. The goal of this course is to provide an overview of key issues of object representation and to survey data from primate physiology and human fMRI that bear on those issues. Topics include the computational problems of object representation, the nature of object representations in the brain, the tolerance and selectivity of those representations, and the effects of attention and learning.Show less","Health and Medicine, Sensory-Neural Systems, Science, Social Science",Prof. James DiCarlo Prof. Nancy Kanwisher,https://ocw.mit.edu/courses/9-916-the-neural-basis-of-visual-object-recognition-in-monkeys-and-humans-spring-2005/,Brain and Cognitive Sciences
Probability and Causality in Human Cognition,"Probability theory captures a number of essential characteristics of human cognition, including aspects of perception, reasoning, belief revision, and learning. Expressions of degree of belief were used in language long before people began codifying the laws of probability theory. This course explores the history and debates over codifying the laws of probability, how probability theory applies to specific cognitive processes, how it relates to the human understanding of causality, and how new computational approaches to causal modeling provide a framework for understanding human probabilistic reasoning.","Mathematics, Probability and Statistics, Science",Prof. Joshua Tenenbaum,https://ocw.mit.edu/courses/9-916-a-probability-and-causality-in-human-cognition-spring-2003/,Brain and Cognitive Sciences
Marathon Moral Reasoning Laboratory,This seminar focuses on the cognitive science of moral reasoning. Philosophers debate how we decide which moral actions are permissible. Is it permissible to take one human life in order to save others? We have powerful and surprisingly rich and subtle intuitions to such questions.,"Humanities, Philosophy, Ethics, Science, Social Science",Prof. John Mikhail Prof. Joshua Tenenbaum Prof. Rebecca Saxe,https://ocw.mit.edu/courses/9-93-marathon-moral-reasoning-laboratory-january-iap-2007/,Brain and Cognitive Sciences
Cognitive Neuroscience of Remembering: Creating and Controlling Memory,"This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month.","Science, Biology, Neuroscience, Cognitive Science",Prof. Anthony Wagner,https://ocw.mit.edu/courses/9-93-cognitive-neuroscience-of-remembering-creating-and-controlling-memory-january-iap-2002/,Brain and Cognitive Sciences
Research Topics in Neuroscience,This series of research talks by members of the Department of Brain and Cognitive Sciences introduces students to different approaches to the study of the brain and mind.,"Science, Biology, Neuroscience, Cognitive Science, Social Science",Prof. Peter H. Schiller,https://ocw.mit.edu/courses/9-95-a-research-topics-in-neuroscience-january-iap-2003/,Brain and Cognitive Sciences
Experimental Methods of Adjustable Tetrode Array Neurophysiology,"Students will be exposed to all aspects of a cutting-edge technique in modern electrophysiology, in a highly structured, team oriented environment. The research projects will probe the neural mechanisms of learning and memory through tetrode array recordings coupled with patterned microstimulation. Due to the broad nature of tasks to be completed, coupled with the team oriented approach we will be employing, we are interested in students with a wide variety of laboratory experience and skill levels.Show less","Science, Biology, Neurobiology, Neuroscience, Cognitive Science, Social Science",Prof. Matthew Wilson,https://ocw.mit.edu/courses/9-96-experimental-methods-of-adjustable-tetrode-array-neurophysiology-january-iap-2001/,Brain and Cognitive Sciences
Introduction to Neuroanatomy,"This subject will be an intensive introduction to neuroanatomy, involving lectures, demonstrations, and hands-on laboratories, including a brain dissection. The course will not assume any prior knowledge of neuroanatomy, though some general knowledge of brain structures will be helpful.","Health and Medicine, Anatomy and Physiology, Science",Prof. Chris Moore,https://ocw.mit.edu/courses/9-97-introduction-to-neuroanatomy-january-iap-2003/,Brain and Cognitive Sciences
Neuropharmacology,The neuropharmacology course will discuss the drug-induced changes in functioning of the nervous system. The specific focus of this course will be to provide a description of the cellular and molecular actions of drugs on synaptic transmission. This course will also refer to specific diseases of the nervous system and their treatment in addition to giving an overview of the techniques used for the study of neuropharmacology.,"Health and Medicine, Pharmacology and Toxicology, Science",Dr. Daniela Tropea,https://ocw.mit.edu/courses/9-98-neuropharmacology-january-iap-2009/,Brain and Cognitive Sciences
Language and Mind,This course will address some fundamental questions regarding human language: (1) how language is represented in our minds; (2) how language is acquired by children; (3) how language is processed by adults; (4) the relationship between language and thought; (5) exploring how language is represented and processed using brain imaging methods; and (6) computational modeling of human language acquisition and processing.Show less,"Engineering, Systems Engineering, Computational Modeling and Simulation, Humanities, Science, Social Science",Prof. Ted Gibson,https://ocw.mit.edu/courses/9-98-language-and-mind-january-iap-2003/,Brain and Cognitive Sciences
Developmental Cognitive Neuroscience,"This course uses neuroscience methods to study the cognitive development of human infants and children. Case studies draw from research on face recognition, language, executive function, representations of objects, number and theory of mind.","Science, Biology, Neuroscience, Cognitive Science",Prof. Susan Carey Prof. Rebecca Saxe,https://ocw.mit.edu/courses/9-s915-developmental-cognitive-neuroscience-spring-2012/,Brain and Cognitive Sciences
